"DOI";"PublicationYear";"Venue";"Abstract";"WhichSearch";"Title";"CatLevel";"CatObjSubj";"CatFidelity";"HasBaseline";"HasPlacebo";"CS_HasAttentionCheck";"CS_HasDataQuality";"IsReproducible";"IsPreRegistered";"HasQuestionnaireValidation";"HasPreTesting";"HasLimitations";"SubsamplingGroup";"ParticipantCount";"ParticipantType";"NautaClassification"
NA;2009;"NIPS '09: Proceedings of the 22nd International Conference on Neural Information Processing Systems";"Probabilistic topic models are a popular tool for the unsupervised analysis of text, providing both a predictive model of future text and a latent topic representation of the corpus. Practitioners typically assume that the latent space is semantically meaningful. It is used to check models, summarize the corpus, and guide exploration of its contents. However, whether the latent space is interpretable is in need of quantitative evaluation. In this paper, we present new quantitative methods for measuring semantic meaning in inferred topics. We back these measures with large-scale user studies, showing that they capture aspects of the model that are undetected by previous measures of model quality based on held-out likelihood. Surprisingly, topic models which perform better on held-out likelihood may infer less semantically meaningful topics.";"indirect";"Reading Tea Leaves: How Humans Interpret Topic Models";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"ID"
"10.1016/j.dss.2010.12.003";2011;"Decision Support Systems";"An important objective of data mining is the development of predictive models. Based on a number of observations, a model is constructed that allows the analysts to provide classifications or predictions for new observations. Currently, most research focuses on improving the accuracy or precision of these models and comparatively little research has been undertaken to increase their comprehensibility to the analyst or end-user. This is mainly due to the subjective nature of ‘comprehensibility’, which depends on many factors outside the model, such as the user's experience and his/her prior knowledge. Despite this influence of the observer, some representation formats are generally considered to be more easily interpretable than others. In this paper, an empirical study is presented which investigates the suitability of a number of alternative representation formats for classification when interpretability is a key requirement. The formats under consideration are decision tables, (binary) decision trees, propositional rules, and oblique rules. An end-user experiment was designed to test the accuracy, response time, and answer confidence for a set of problem-solving tasks involving the former representations. Analysis of the results reveals that decision tables perform significantly better on all three criteria, while post-test voting also reveals a clear preference of users for decision tables in terms of ease of use.";"indirect";"An empirical evaluation of the comprehensibility of decision table, tree and rule based predictive models";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"51";"students (NA)";"FS,SC"
"10.1609/aaai.v29i1.9474";2015;"Proceedings of the AAAI Conference on Artificial Intelligence";"The majority of machine learning research has been focused on building models and inference techniques with sound mathematical properties and cutting edge performance. Little attention has been devoted to the development of data representation that can be used to improve a user's ability to interpret the data and machine learning models to solve real-world problems. In this paper, we quantitatively and qualitatively evaluate an efficient, accurate and scalable feature-compression method using latent Dirichlet allocation for discrete data. This representation can effectively communicate the characteristics of high-dimensional, complex data points. We show that the improvement of a user's interpretability through the use of a topic modeling-based compression technique is statistically significant, according to a number of metrics, when compared with other representations. Also, we find that this representation is scalable --- it maintains alignment with human classification accuracy as an increasing number of data points are shown. In addition, the learned topic layer can semantically deliver meaningful information to users that could potentially aid human reasoning about data characteristics in connection with compressed topic space.";"indirect";"Scalable and Interpretable Data Representation for High-Dimensional, Complex Data";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"24";"domain experts (engineers)";"ID"
"10.1145/2702613.2732769";2015;"Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems";"User's confidence in machine learning (ML) based decision making significantly affects acceptability of ML techniques. In this work, we investigate how uncertainty/correlation affects user's confidence in order to design effective user interface for ML-based intelligent systems. A user study was performed and we found that revealing of correlation helped users better understand uncertainty and thus increased confidence in model output. When correlation had the same trend with performance, correlation but not uncertainty helped users more confident in their decisions.";"indirect";"Be Informed and Be Involved";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"26";"administrative staff (NA),AI experts (NA),researchers (NA)";"SS"
"10.1145/2939672.2939778";2016;"Proceedings of the 22nd ACM SIGKDD international conference on knowledge discovery and data mining";"Despite widespread adoption, machine learning models remain mostly black boxes. Understanding the reasons behind predictions is, however, quite important in assessing trust, which is fundamental if one plans to take action based on a prediction, or when choosing whether to deploy a new model. Such understanding also provides insights into the model, which can be used to transform an untrustworthy model or prediction into a trustworthy one.";"indirect";"\"Why Should I Trust You?\"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"SS"
"10.1504/IJCSE.2016.080214";2016;"International Journal of Computational Science and Engineering";"Machine learning (ML) techniques are often found difficult to apply effectively in practice because of their complexities. Therefore, making ML useable is emerging as one of active research fields recently. Furthermore, an ML algorithm is still a 'black-box'. This 'black-box' approach makes it difficult for users to understand complicated ML models. As a result, the user is uncertain about the usefulness of ML results and this affects the effectiveness of ML methods. This paper focuses on making a 'black-box' ML process transparent by presenting real-time internal status update of the ML process to users explicitly. A user study was performed to investigate the impact of revealing internal status update to users on the easiness of understanding data analysis process, meaningfulness of real-time status update, and convincingness of ML results. The study showed that revealing of the internal states of ML process can help improve easiness of understanding the data analysis process, make real-time status update more meaningful, and make ML results more convincing.";"indirect";"Making machine learning useable by revealing internal states update - a transparent approach";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"30";"administrative staff (NA),AI experts (NA),researchers (NA)";"FS,SC"
"10.1145/3010915.3011004";2016;"Proceedings of the 28th Australian Conference on Computer-Human Interaction";"Despite the recognized value of Machine Learning (ML) techniques and high expectation of applying ML techniques within various applications, significant barriers to the widespread adoption and local implementation of ML approaches still exist in the areas of trust (of ML results), comprehension (of ML processes), as well as confidence (in decision making) by users. This paper investigates the effects of correlation between features and target values on user confidence in data analytics-driven decision making. Our user study found that revealing the correlation between features and target variables affected user confidence in decision making significantly. Moreover, users felt more confident in decision making when correlation shared the same trend with the prediction model performance. These findings would help design intelligent user interfaces and evaluate the effectiveness of machine learning models in applications.";"indirect";"Correlation for user confidence in predictive decision making";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"26";"administrative staff (NA),AI experts (NA),researchers (NA)";"SC,FS"
"10.1109/CVPR.2017.354";2017;"Proceedings of the IEEE conference on computer vision and pattern recognition";"We propose a general framework called Network Dissection for quantifying the interpretability of latent representations of CNNs by evaluating the alignment between individual hidden units and a set of semantic concepts. Given any CNN model, the proposed method draws on a data set of concepts to score the semantics of hidden units at each intermediate convolutional layer. The units with semantics are labeled across a broad range of visual concepts including objects, parts, scenes, textures, materials, and colors. We use the proposed method to test the hypothesis that interpretability is an axis-independent property of the representation space, then we apply the method to compare the latent representations of various networks when trained to solve different classification problems. We further analyze the effect of training iterations, compare networks trained with different initializations, and measure the effect of dropout and batch normalization on the interpretability of deep visual representations. We demonstrate that the proposed method can shed light on characteristics of CNN models and training methods that go beyond measurements of their discriminative power.";"indirect";"Network Dissection: Quantifying Interpretability of Deep Visual Representations";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (AMT)";"SC,FS"
"10.1145/3025171.3025219";2017;"Proceedings of the 22nd international conference on intelligent user interfaces";"Trust is a key factor affecting the way people rely on automated systems. On the other hand, system performance has comprehensive implications on a user's trust variations. This paper examines systems of varied levels of accuracy, in order to reveal the relationship between system performance, a user's trust and reliance on the system. In particular, it is identified that system failures have a stronger effect on trust than system successes. We also describe how patterns of trust change according to a number of consecutive system failures or successes. Importantly, we show that increasing user familiarity with the system decreases the rate of trust change, which provides new insights on the development of user trust. Finally, our analysis established a correlation between a user's reliance on a system and their trust level. Combining all these findings can have important implications in general system design and implementation, by predicting how trust builds and when it stabilizes, as well as allowing for indirectly reading a user's trust in real time based on system reliance.";"indirect";"User Trust Dynamics";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"21";"students (NA),other (IT professionals)";"SS"
"10.1145/3178876.3186070";2018;"Proceedings of the 2018 world wide web conference";"Reviews information is dominant for users to make online purchasing decisions in e-commerces. However, the usefulness of reviews is varied. We argue that less-useful reviews hurt model's performance, and are also less meaningful for user's reference. While some existing models utilize reviews for improving the performance of recommender systems, few of them consider the usefulness of reviews for recommendation quality. In this paper, we introduce a novel attention mechanism to explore the usefulness of reviews, and propose a Neural Attentional Regression model with Review-level Explanations (NARRE) for recommendation. Specifically, NARRE can not only predict precise ratings, but also learn the usefulness of each review simultaneously. Therefore, the highly-useful reviews are obtained which provide review-level explanations to help users make better and faster decisions. Extensive experiments on benchmark datasets of Amazon and Yelp on different domains show that the proposed NARRE model consistently outperforms the state-of-the-art recommendation approaches, including PMF, NMF, SVD++, HFT, and DeepCoNN in terms of rating prediction, by the proposed attention model that takes review usefulness into consideration. Furthermore, the selected reviews are shown to be effective when taking existing review-usefulness ratings in the system as ground truth. Besides, crowd-sourcing based evaluations reveal that in most cases, NARRE achieves equal or even better performances than system's usefulness rating method in selecting reviews. And it is flexible to offer great help on the dominant cases in real e-commerce scenarios when the ratings on review-usefulness are not available in the system.";"indirect";"Neural Attentional Rating Regression with Review-level Explanations";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NA";"crowdsourcing (CrowdFlower)";"SS"
